MESA;ESCUELA;DEPTO.;LOCALIDAD
1;EPEP NRO. 58;1 - FORMOSA;1 - CIUDAD DE FORMOSA
2;EPEP NRO. 58;1 - FORMOSA;1 - CIUDAD DE FORMOSA
3;EPEP NRO. 58;1 - FORMOSA;1 - CIUDAD DE FORMOSA
4;EPEP NRO. 58;1 - FORMOSA;1 - CIUDAD DE FORMOSA
5;EPEP NRO. 58;1 - FORMOSA;1 - CIUDAD DE FORMOSA
6;EPEP NRO. 58;1 - FORMOSA;1 - CIUDAD DE FORMOSA
7;EPEP NRO. 58;1 - FORMOSA;1 - CIUDAD DE FORMOSA
8;EPEP NRO. 58;1 - FORMOSA;1 - CIUDAD DE FORMOSA
9;INST. SANTA ISABEL;1 - FORMOSA;1 - CIUDAD DE FORMOSA
10;INST. SANTA ISABEL;1 - FORMOSA;1 - CIUDAD DE FORMOSA
11;INST. SANTA ISABEL;1 - FORMOSA;1 - CIUDAD DE FORMOSA
12;INST. SANTA ISABEL;1 - FORMOSA;1 - CIUDAD DE FORMOSA
13;INST. SANTA ISABEL;1 - FORMOSA;1 - CIUDAD DE FORMOSA
14;INST. SANTA ISABEL;1 - FORMOSA;1 - CIUDAD DE FORMOSA
15;INST. SANTA ISABEL;1 - FORMOSA;1 - CIUDAD DE FORMOSA
16;EPES NRO. 56;1 - FORMOSA;1 - CIUDAD DE FORMOSA
17;EPES NRO. 56;1 - FORMOSA;1 - CIUDAD DE FORMOSA
18;EPES NRO. 56;1 - FORMOSA;1 - CIUDAD DE FORMOSA
19;EPES NRO. 56;1 - FORMOSA;1 - CIUDAD DE FORMOSA
20;EPES NRO. 56;1 - FORMOSA;1 - CIUDAD DE FORMOSA
21;EPES NRO. 56;1 - FORMOSA;1 - CIUDAD DE FORMOSA
22;EPES NRO. 56;1 - FORMOSA;1 - CIUDAD DE FORMOSA
23;EPES NRO. 56;1 - FORMOSA;1 - CIUDAD DE FORMOSA
24;EPEP NRO. 1;1 - FORMOSA;1 - CIUDAD DE FORMOSA
